 ,X,Y
1,209.051,209.071
2,322.822,296.364
3,313.500,294.500
4,333.861,303.175
5,333.500,306.500
6,209.051,209.071
7,322.822,296.364
8,313.500,294.500
9,333.861,303.175
10,333.500,306.500
